"Date","Open","High","Low","Close","Volume","Adj Close"
07/01/04,32.1,33.63,28.74,32.34,16904000,16.17
06/01/04,27.79,34.19,27.61,32.54,14626300,16.27
05/03/04,26,28.78,25.5,28.06,9732100,14.03
04/01/04,26.89,29.58,25.49,25.78,15980700,12.89
03/01/04,24.1,28.14,23.6,27.04,18659700,13.52
02/02/04,22.46,24.1,21.7,23.92,10133200,11.96
01/02/04,21.55,24.84,21.18,22.56,14487600,11.28
12/01/03,21.04,21.9,19.25,21.37,9136800,10.69
11/03/03,22.83,23.3,19.85,20.91,9492800,10.45
10/01/03,20.71,25.01,20.19,22.89,11270700,11.44
09/02/03,22.66,23.32,20.15,20.72,9579700,10.36
08/01/03,21,22.85,19.42,22.61,7773300,11.31
07/01/03,18.87,21.57,18.51,21.08,8960600,10.54
06/02/03,18.1,19.69,16.63,19.06,10774600,9.53
05/01/03,14.25,19.01,14,17.95,19037900,8.98
04/01/03,14.2,14.95,12.72,14.22,14002500,7.11
03/03/03,15.01,15.16,14.04,14.14,7287500,7.07
02/03/03,14.41,15.3,13.8,15.01,8100300,7.51
01/02/03,14.36,15.38,13.56,14.36,10862300,7.18
12/02/02,15.9,16.1,13.78,14.33,8046200,7.16
11/01/02,15.94,17.38,15.01,15.5,8348400,7.75
10/01/02,14.59,16.44,13.36,16.07,10725500,8.03
09/03/02,14.49,15.19,14.05,14.5,9874100,7.25
08/01/02,15.11,16.25,13.97,14.75,8677200,7.38
07/01/02,17.71,18.79,13.8,15.26,13683600,7.63
06/03/02,23.39,23.45,15.98,17.72,16031900,8.86
05/01/02,24.29,25.98,22.14,23.3,10294800,11.65
04/01/02,23.38,26.17,23,24.27,10882700,12.14
03/01/02,21.93,25.3,21.82,23.67,9691100,11.84
02/01/02,24.34,25.98,20.94,21.7,15590900,10.85
01/02/02,22.05,24.73,20.25,24.72,15278600,12.36
12/03/01,21.06,24.03,20.09,21.9,8513600,10.95
11/01/01,17.65,21.55,17.25,21.3,9649000,10.65
10/01/01,15.49,19.42,14.83,17.56,12139700,8.78
09/04/01,18.5,19.08,14.68,15.51,14039600,7.76
08/01/01,19.01,19.9,17.28,18.55,8301600,9.27
07/02/01,23.64,25.22,17.85,18.79,15119200,9.4
06/01/01,20.13,25.1,19.35,23.25,13866700,11.62
05/01/01,25.41,26.7,19.3,19.95,12843000,9.98
04/02/01,22.09,27.12,18.75,25.49,20810300,12.74
03/01/01,17.81,23.75,17.19,22.07,18184800,11.03
02/01/01,20.69,21.94,18,18.25,14163200,9.12
01/02/01,14.88,22.5,14.44,21.62,24563400,10.81
12/01/00,17,17.5,13.63,14.88,16952000,7.44
11/01/00,19.44,23,16.12,16.5,15818500,8.25
10/02/00,26.69,26.75,17.5,19.56,37005800,9.78
09/01/00,61.31,64.12,25.37,25.75,39182200,12.88
08/01/00,50.31,61.5,44.25,60.94,9409900,30.47
07/03/00,52.13,60.63,46.88,50.81,10545800,25.41
06/01/00,81.75,103.94,50.31,52.38,13693300,26.19
05/01/00,124.87,126.25,81.75,84,16634600,21
04/03/00,135.5,139.5,104.87,124.06,16763800,31.01
03/01/00,118.56,150.38,114,135.81,14143500,33.95
02/01/00,104,119.94,97,114.62,13741000,28.66
01/03/00,104.87,121.5,86.5,103.75,23688100,25.94

